round_epochs,loss,mean_absolute_error,bound_accuracy,val_loss,val_mean_absolute_error,val_bound_accuracy,activation,batch_size,epochs,losses,optimizer
1000,0.06262048940967631,0.17102404,0.034251977,0.062378447502851486,0.1699354,0.035560194,elu,128,1000,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f10d0>
700,0.004850879777222872,0.004837549,0.89687216,0.004841750022023916,0.004828452,0.89902574,elu,128,700,mean_absolute_error,Adam
1000,0.003779412217921129,0.044644807,0.13318484,0.003683517687022686,0.04388898,0.13625608,elu,128,1000,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f1110>
700,0.15500459262618313,0.003694034,0.9344156,0.1555110067129135,0.0034270794,0.9402227,elu,64,700,binary_crossentropy,RMSProp
700,0.15534565636405237,0.005180298,0.8871738,0.15595242381095886,0.0054512117,0.8733125,elu,128,700,binary_crossentropy,RMSProp
1000,0.005089000519365072,0.005089001,0.88041335,0.005061142612248659,0.0050611426,0.8802366,relu,64,1000,mean_absolute_error,RMSProp
700,0.1716459490634777,0.031407896,0.21658126,0.17197516560554504,0.030888848,0.2191023,elu,128,700,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f10d0>
700,0.002146348643496081,0.037208993,0.17978664,0.002081850543618202,0.036562752,0.18162839,elu,64,700,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f1110>
1000,0.1638052589363522,0.020911861,0.3154591,0.1642398238182068,0.02057656,0.3229993,relu,128,1000,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f10d0>
700,0.023927878864385462,0.083197266,0.07923667,0.023755470290780067,0.082209736,0.08006263,relu,64,700,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f10d0>
1000,0.15657843792880022,0.009528397,0.68800217,0.1570909321308136,0.0093898475,0.6869172,elu,64,1000,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f1210>
1000,0.002320585772395134,0.0023132327,0.96809185,0.0023868721909821033,0.0023795287,0.9673278,relu,64,1000,mean_absolute_error,Adam
1000,0.15664508839448293,0.009718067,0.6795552,0.15715351700782776,0.009564808,0.678984,relu,64,1000,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f1210>
700,0.153062453645247,0.15304914,0.23092334,0.15259748697280884,0.1525841,0.22870563,relu,128,700,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f10d0>
1000,0.1571408024540654,0.01063068,0.6226089,0.1576499342918396,0.0104865,0.6209812,relu,64,1000,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f10d0>
1000,5.3569162722582135e-05,0.0034365016,0.94191456,5.119722482049838e-05,0.0034185073,0.94182324,elu,64,1000,mean_squared_error,Adam
700,0.1595794928294641,0.01349778,0.47546738,0.16010330617427826,0.013287989,0.49057063,relu,128,700,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f1110>
1000,0.0006317850180763613,0.017390037,0.36522937,0.000629972608294338,0.017211115,0.38065413,relu,128,1000,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f1210>
700,0.21141306912457503,0.45778093,0.00018588245,0.21123819053173065,0.4575818,0.00017397356,elu,64,700,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f10d0>
1000,0.014089283712760166,0.0140721565,0.6608718,0.014064704068005085,0.014047486,0.65862906,relu,128,1000,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f1210>
1000,0.4579917377895779,0.45798534,0.00019758425,0.45779308676719666,0.45778668,0.00017397356,elu,128,1000,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f10d0>
700,0.09654077225261265,0.096525274,0.47897407,0.0965011939406395,0.09648562,0.4764788,relu,64,700,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f10d0>
1000,0.15750317308637832,0.011279615,0.58379114,0.15801553428173065,0.011139141,0.58907443,elu,128,1000,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f1110>
1000,0.15541550881332822,0.00546953,0.87215835,0.1559673398733139,0.0054699946,0.87146837,elu,128,1000,binary_crossentropy,Adam
700,0.004990789908225889,0.004977969,0.8922772,0.005506256595253944,0.00549331,0.8692763,relu,64,700,mean_absolute_error,RMSProp
700,0.0030637724963189276,0.0030537625,0.9479938,0.0031585649121552706,0.0031485248,0.94683367,relu,64,700,mean_absolute_error,Adam
1000,4.8519147498559e-05,0.0034770875,0.93964356,4.5263317588251084e-05,0.0034289046,0.93924844,elu,128,1000,mean_squared_error,RMSProp
1000,0.00016229201886475223,0.006263127,0.83252174,0.00015896285185590386,0.006286776,0.83524704,relu,128,1000,mean_squared_error,Adam
700,0.15533634766384408,0.005130781,0.8892428,0.15592534840106964,0.0052498938,0.88392484,relu,128,700,binary_crossentropy,RMSProp
700,0.15687315386754494,0.009977586,0.6647256,0.15738458931446075,0.009838486,0.6606124,relu,128,700,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1828f1210>
