round_epochs,loss,mean_absolute_error,bound_accuracy,val_loss,val_mean_absolute_error,val_bound_accuracy,activation,batch_size,epochs,losses,optimizer
400,0.2110941963063346,0.4574321,0.00022419805,0.21150517463684082,0.45794675,0.00027835768,elu,64,400,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
400,0.20808536840809716,0.45414078,0.00018795357,0.20850515365600586,0.45466906,0.00024356297,relu,64,400,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
800,0.0022925719549810445,0.0022912277,0.96952873,0.002132380846887827,0.002131035,0.9734864,relu,64,800,mean_absolute_error,Adam
800,1.37534512220925e-05,0.0019748039,0.9803524,1.3527859664463904e-05,0.0020027922,0.9800974,elu,64,800,mean_squared_error,RMSProp
800,0.1551416073684339,0.0034103687,0.94064194,0.15383605659008026,0.0032035476,0.9474252,elu,64,800,binary_crossentropy,Nadam
1200,0.6722971615967928,0.4476892,0.000264067,0.6723340153694153,0.4482462,0.00027835768,elu,64,1200,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
1200,0.00014716568359829209,0.0071322657,0.78411037,0.00014944969734642655,0.007162899,0.78823936,relu,128,1200,mean_squared_error,Adam
1200,0.6658408964121784,0.4441565,0.00019665225,0.6658164858818054,0.4446806,0.00020876827,relu,128,1200,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
1200,0.20398873841321027,0.4495406,0.0003126864,0.20441392064094543,0.45008594,0.00027835768,elu,128,1200,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
400,0.21034631938846024,0.4565884,0.00018360424,0.21075956523418427,0.45711085,0.00024356297,relu,128,400,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
1200,0.0018444558950486006,0.0018433963,0.9793205,0.0017555952072143555,0.0017545266,0.9798887,elu,64,1200,mean_absolute_error,RMSProp
800,1.849733070466081e-05,0.0022839482,0.9736855,1.6827119907247834e-05,0.0021476822,0.97557414,relu,64,800,mean_squared_error,RMSProp
800,2.2677726452389766e-05,0.0025868963,0.9641045,2.3073092961567454e-05,0.002698995,0.96506613,relu,128,800,mean_squared_error,RMSProp
400,0.6891185120300011,0.45700845,0.00020224426,0.6891242265701294,0.45753175,0.00027835768,elu,128,400,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
800,0.0022952200862130633,0.002293863,0.9690783,0.0021423196885734797,0.0021409618,0.9731385,relu,64,800,mean_absolute_error,Nadam
