,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,169.84,170.85,165.91,166.57,833993,169.84,170.85,165.91,166.57,833993,0.0,1.0,7556625391.92,4026325391.92,27.7063621533,3.6459658225,0.548694623
1,2017-05-05 00:00:00+00:00,170.86,171.87,168.67,169.83,395382,170.86,171.87,168.67,169.83,395382,0.0,1.0,7602007857.18,4071707857.18,27.8727569331,3.6678622258,0.5519898922
2,2017-05-08 00:00:00+00:00,170.01,170.62,169.16,170.09,388326,170.01,170.62,169.16,170.09,388326,0.0,1.0,7564189136.13,4033889136.13,27.7340946166,3.649615223,0.5492438346
3,2017-05-09 00:00:00+00:00,170.02,171.82,169.9,170.3,354984,170.02,171.82,169.9,170.3,354984,0.0,1.0,7564634062.26,4034334062.26,27.735725938,3.6498298936,0.5492761411
4,2017-05-10 00:00:00+00:00,172.92,173.73,169.07,170.03,433818,172.92,173.73,169.07,170.03,433818,0.0,1.0,7693662639.96,4163362639.96,28.2088091354,3.7120843737,0.5586450437
5,2017-05-11 00:00:00+00:00,172.73,174.44,171.72,172.84,310430,172.73,174.44,171.72,172.84,310430,0.0,1.0,7685209043.49,4154909043.49,28.1778140294,3.7080056319,0.558031219
6,2017-05-12 00:00:00+00:00,172.62,174.51,171.81,171.81,251078,172.62,174.51,171.81,171.81,251078,0.0,1.0,7680314856.06,4150014856.06,28.1598694943,3.705644255,0.5576758468
7,2017-05-15 00:00:00+00:00,173.33,174.18,171.74,172.36,380778,173.33,174.18,171.74,172.36,380778,0.0,1.0,7711904611.29,4181604611.29,28.2756933116,3.7208858691,0.5599696126
8,2017-05-16 00:00:00+00:00,168.27,173.57,167.96,173.57,730362,168.27,173.57,167.96,173.57,730362,0.0,1.0,7486771989.51,3956471989.51,27.4502446982,3.612262535,0.543622493
9,2017-05-17 00:00:00+00:00,167.53,168.85,164.02,168.27,500017,167.53,168.85,164.02,168.27,500017,0.0,1.0,7453847455.89,3923547455.89,27.3295269168,3.5963769091,0.5412318076
10,2017-05-18 00:00:00+00:00,168.77,170.44,166.95,167.39,290916,168.77,170.44,166.95,167.39,290916,0.0,1.0,7509018296.01,3978718296.01,27.5318107667,3.6229960661,0.5452378211
11,2017-05-19 00:00:00+00:00,170.79,171.22,166.3,168.76,265619,170.79,171.22,166.3,168.76,265619,0.0,1.0,7598893374.27,4068593374.27,27.8613376835,3.6663595314,0.5517637463
12,2017-05-22 00:00:00+00:00,171.36,171.77,169.49,171.32,251869,171.36,171.77,169.49,171.32,251869,0.0,1.0,7624254163.68,4093954163.68,27.9543230016,3.6785957568,0.5536052202
13,2017-05-23 00:00:00+00:00,171.25,171.85,169.08,171.47,239699,171.25,171.85,169.08,171.47,239699,0.0,1.0,7619359976.25,4089059976.25,27.9363784666,3.67623438,0.5532498481
14,2017-05-24 00:00:00+00:00,172.07,172.59,170.28,171.21,269407,172.07,172.59,170.28,171.21,269407,0.0,1.0,7655843918.91,4125543918.91,28.0701468189,3.6938373709,0.555898986
15,2017-05-25 00:00:00+00:00,172.82,173.52,171.19,171.86,331784,172.82,173.52,171.19,171.86,331784,0.0,1.0,7689213378.66,4158913378.66,28.1924959217,3.7099376675,0.5583219781
16,2017-05-26 00:00:00+00:00,172.97,173.99,171.97,173.16,156680,172.97,173.99,171.97,173.16,156680,0.0,1.0,7695887270.61,4165587270.61,28.2169657423,3.7131577268,0.5588065765
17,2017-05-30 00:00:00+00:00,172.49,173.87,171.52,173.0,171082,172.49,173.87,171.52,173.0,171082,0.0,1.0,7674530816.37,4144230816.37,28.1386623165,3.702853537,0.5572558616
18,2017-05-31 00:00:00+00:00,171.8,173.23,170.78,172.4,208969,171.8,173.23,170.78,172.4,208969,0.0,1.0,7643830913.4,4113530913.4,28.0261011419,3.6880412641,0.5550267089
19,2017-06-01 00:00:00+00:00,175.33,175.33,171.93,171.93,231832,175.33,175.33,171.93,171.93,231832,0.0,1.0,7800889837.29,4270589837.29,28.6019575856,3.7638199933,0.5664309247
20,2017-06-02 00:00:00+00:00,174.25,176.18,173.82,175.54,192666,174.25,176.18,173.82,175.54,192666,0.0,1.0,7752837815.25,4222537815.25,28.4257748777,3.7406355662,0.5629418162
21,2017-06-05 00:00:00+00:00,174.24,175.1,173.3,174.31,150724,174.24,175.1,173.3,174.31,150724,0.0,1.0,7752392889.12,4222092889.12,28.4241435563,3.7404208956,0.5629095096
22,2017-06-06 00:00:00+00:00,177.36,178.55,173.34,174.24,292292,177.36,178.55,173.34,174.24,292292,0.0,1.0,7891209841.68,4360909841.68,28.9331158238,3.8073981293,0.5729891565
23,2017-06-07 00:00:00+00:00,179.11,179.53,176.64,177.84,344629,179.11,179.53,176.64,177.84,344629,0.0,1.0,7969071914.43,4438771914.43,29.2185970636,3.8449654879,0.5786428046
24,2017-06-08 00:00:00+00:00,179.96,181.04,178.63,179.78,247679,179.96,181.04,178.63,179.78,247679,0.0,1.0,8006890635.48,4476590635.48,29.3572593801,3.8632124907,0.5813888622
25,2017-06-09 00:00:00+00:00,177.46,180.95,177.03,179.79,264269,177.46,180.95,177.03,179.79,264269,0.0,1.0,7895659102.98,4365359102.98,28.9494290375,3.8095448355,0.5733122221
26,2017-06-12 00:00:00+00:00,172.73,177.59,170.89,177.47,604917,172.73,177.59,170.89,177.47,604917,0.0,1.0,7685209043.49,4154909043.49,28.1778140294,3.7080056319,0.558031219
27,2017-06-13 00:00:00+00:00,174.95,175.25,172.58,173.09,258789,174.95,175.25,172.58,173.09,258789,0.0,1.0,7783982644.35,4253682644.35,28.5399673736,3.7556625097,0.5652032754
28,2017-06-14 00:00:00+00:00,174.57,176.67,173.29,176.06,263540,174.57,176.67,173.29,176.06,263540,0.0,1.0,7767075451.41,4236775451.41,28.4779771615,3.7475050261,0.5639756261
29,2017-06-15 00:00:00+00:00,173.39,175.09,172.72,174.28,211030,173.39,175.09,172.72,174.28,211030,0.0,1.0,7714574168.07,4184274168.07,28.2854812398,3.7221738928,0.560163452
30,2017-06-16 00:00:00+00:00,174.66,174.95,172.21,172.74,409963,174.66,174.95,172.21,172.74,409963,0.0,1.0,7771079786.58,4240779786.58,28.4926590538,3.7494370617,0.5642663852
31,2017-06-19 00:00:00+00:00,176.56,177.15,175.0,175.11,250646,176.56,177.15,175.0,175.11,250646,0.0,1.0,7855615751.28,4325315751.28,28.8026101142,3.7902244796,0.5704046317
32,2017-06-20 00:00:00+00:00,176.57,177.37,175.68,176.34,323320,176.57,177.37,175.68,176.34,323320,0.0,1.0,7856060677.41,4325760677.41,28.8042414356,3.7904391502,0.5704369382
33,2017-06-21 00:00:00+00:00,177.54,178.74,176.07,176.89,298818,177.54,178.74,176.07,176.89,298818,0.0,1.0,7899218512.02,4368918512.02,28.9624796085,3.8112622004,0.5735706746
34,2017-06-22 00:00:00+00:00,183.6,184.68,178.52,178.69,427591,183.6,184.68,178.52,178.69,427591,0.0,1.0,8168843746.8,4638543746.8,29.9510603589,3.9413525966,0.5931484502
35,2017-06-23 00:00:00+00:00,183.28,184.88,182.43,184.6,410930,183.28,184.88,182.43,184.6,410930,0.0,1.0,8154606110.64,4624306110.64,29.898858075,3.9344831367,0.5921146403
36,2017-06-26 00:00:00+00:00,181.37,183.82,180.37,183.82,375802,181.37,183.82,180.37,183.82,375802,0.0,1.0,8069625219.81,4539325219.81,29.5872756933,3.8934810482,0.5859440873
37,2017-06-27 00:00:00+00:00,179.65,181.36,177.97,181.36,342659,179.65,181.36,177.97,181.36,342659,0.0,1.0,7993097925.45,4462797925.45,29.3066884176,3.8565577014,0.5803873589
38,2017-06-28 00:00:00+00:00,180.78,182.34,179.83,180.74,279956,180.78,182.34,179.83,180.74,279956,0.0,1.0,8043374578.14,4513074578.14,29.4910277325,3.8808154816,0.5840380002
39,2017-06-29 00:00:00+00:00,178.74,181.23,177.42,180.91,233335,178.74,181.23,177.42,180.91,233335,0.0,1.0,7952609647.62,4422309647.62,29.1582381729,3.8370226749,0.5774474619
40,2017-06-30 00:00:00+00:00,179.56,180.9,177.53,179.43,274171,179.56,180.9,177.53,179.43,274171,0.0,1.0,7989093590.28,5138593590.28,31.227826087,3.7118866284,3.1644197101
41,2017-07-03 00:00:00+00:00,179.81,181.38,178.83,180.21,125479,179.81,181.38,178.83,180.21,125479,0.0,1.0,8000216743.53,5149716743.53,31.2713043478,3.7170546594,3.1688255072
42,2017-07-05 00:00:00+00:00,182.36,182.83,179.08,179.8,189466,182.36,182.83,179.08,179.8,189466,0.0,1.0,8113672906.68,5263172906.68,31.7147826087,3.7697685763,3.2137646377
43,2017-07-06 00:00:00+00:00,179.77,182.7,179.05,181.58,267850,179.77,182.7,179.05,181.58,267850,0.0,1.0,7998437039.01,5147937039.01,31.2643478261,3.7162277745,3.1681205797
44,2017-07-07 00:00:00+00:00,181.13,182.71,179.25,180.41,167213,181.13,182.71,179.25,180.41,167213,0.0,1.0,8058946992.69,5208446992.69,31.5008695652,3.7443418634,3.1920881159
45,2017-07-10 00:00:00+00:00,180.78,182.25,179.05,180.12,306447,180.78,182.25,179.05,180.12,306447,0.0,1.0,8043374578.14,5192874578.14,31.44,3.73710662,3.18592
46,2017-07-11 00:00:00+00:00,181.74,182.48,179.52,181.37,255022,181.74,182.48,179.52,181.37,255022,0.0,1.0,8086087486.62,5235587486.62,31.6069565217,3.7569518592,3.2028382609
47,2017-07-12 00:00:00+00:00,183.12,183.37,180.46,182.88,221467,183.12,183.37,180.46,182.88,221467,0.0,1.0,8147487292.56,5296987292.56,31.8469565217,3.7854793907,3.2271582609
48,2017-07-13 00:00:00+00:00,182.47,183.04,179.77,182.34,183758,182.47,183.04,179.77,182.34,183758,0.0,1.0,8118567094.11,5268067094.11,31.7339130435,3.7720425099,3.2157031884
49,2017-07-14 00:00:00+00:00,182.21,182.99,181.84,182.59,187066,182.21,182.99,181.84,182.59,187066,0.0,1.0,8106999014.73,5256499014.73,31.6886956522,3.7666677576,3.2111211594
50,2017-07-17 00:00:00+00:00,182.56,182.76,180.67,182.36,211615,182.56,182.76,180.67,182.36,211615,0.0,1.0,8122571429.28,5272071429.28,31.7495652174,3.7739030011,3.2172892754
51,2017-07-18 00:00:00+00:00,181.47,183.68,180.665,182.62,238128,181.47,183.68,180.665,182.62,238128,0.0,1.0,8074074481.11,5223574481.11,31.56,3.7513703857,3.19808
52,2017-07-19 00:00:00+00:00,182.28,183.38,181.79,182.36,163456,182.28,183.38,181.79,182.36,163456,0.0,1.0,8110113497.64,5259613497.64,31.7008695652,3.7681148063,3.2123547826
53,2017-07-20 00:00:00+00:00,183.77,183.89,181.46,182.85,173596,183.77,183.89,181.46,182.85,173596,0.0,1.0,8176407491.01,5325907491.01,31.96,3.7989162714,3.2386133333
54,2017-07-21 00:00:00+00:00,183.87,184.07,182.11,183.7,208962,183.87,184.07,182.11,183.7,208962,0.0,1.0,8180856752.31,5330356752.31,31.9773913043,3.8009834839,3.2403756522
55,2017-07-24 00:00:00+00:00,183.49,184.44,182.62,184.44,219241,183.49,184.44,182.62,184.44,219241,0.0,1.0,8163949559.37,5313449559.37,31.9113043478,3.7931280766,3.2336788406
56,2017-07-25 00:00:00+00:00,180.54,184.88,180.41,184.1,386804,180.54,184.88,180.41,184.1,386804,0.0,1.0,8032696351.02,5182196351.02,31.3982608696,3.7321453101,3.1816904348
