round_epochs,loss,mean_absolute_error,bound_accuracy,val_loss,val_mean_absolute_error,val_bound_accuracy,activation,batch_size,epochs,losses,optimizer
800,0.2833917350867823,0.02721214,0.4603463,0.28468236327171326,0.027327292,0.46119386,relu,128,800,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
800,0.29162632060814264,0.026806738,0.49863422,0.292529433965683,0.026905319,0.4987863,relu,64,800,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
1200,0.17413444783391252,0.008136604,0.9437019,0.17470571398735046,0.0081508085,0.94294614,relu,128,1200,binary_crossentropy,Adam
1200,0.1553478716064083,0.0023893628,0.98335975,0.155772864818573,0.0023670585,0.981961,elu,64,1200,binary_crossentropy,RMSProp
1200,0.15927348873821803,0.0032879168,0.97296214,0.15966679155826569,0.003312949,0.9724709,elu,64,1200,binary_crossentropy,Adam
1200,0.0034810656018681445,0.03404613,0.15833825,0.003502405248582363,0.03421684,0.15753865,elu,64,1200,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
800,0.15538873850401289,0.0027558303,0.9785523,0.15580657124519348,0.0028367278,0.9751601,elu,64,800,binary_crossentropy,RMSProp
800,1.1588487538220005e-05,0.001846018,0.9829547,1.195016648125602e-05,0.0018706179,0.98181945,relu,128,800,mean_squared_error,Adam
800,1.4061399507927713e-05,0.0020266704,0.97979486,1.534527473268099e-05,0.0022043593,0.97705317,elu,128,800,mean_squared_error,RMSProp
1200,0.2431126454118955,0.022167088,0.5517648,0.24406440556049347,0.022230387,0.5516153,elu,64,1200,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
800,1.1071263515867189e-05,0.0018105222,0.98403126,1.1764243026846088e-05,0.0018185712,0.9828456,elu,64,800,mean_squared_error,RMSProp
1200,6.3973476345482695e-06,0.0013613711,0.99104637,6.490782652690541e-06,0.0013899533,0.99047804,elu,64,1200,mean_squared_error,Adam
800,0.1607252630754155,0.0036952724,0.96957916,0.16119243204593658,0.0037628412,0.9684831,relu,64,800,binary_crossentropy,Adam
1200,0.1548405179925782,0.0021180522,0.9779643,0.15527348220348358,0.0023216857,0.9727929,elu,128,1200,binary_crossentropy,RMSProp
800,1.5248192048157178e-05,0.0021044814,0.9790621,1.754470940795727e-05,0.0022442972,0.97523445,relu,128,800,mean_squared_error,RMSProp
800,0.004020304321758659,0.037399713,0.14006718,0.004044860601425171,0.037580278,0.14002335,elu,64,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
1200,0.16760899008667401,0.0055595576,0.9500512,0.16805171966552734,0.0055755856,0.9498355,elu,128,1200,binary_crossentropy,Adam
800,0.28745970882040406,0.024637846,0.49806172,0.2881631851196289,0.024725016,0.49891016,elu,128,800,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
1200,0.26570984547196586,0.022802541,0.54648757,0.26638761162757874,0.022869166,0.54620504,relu,64,1200,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
800,0.004052788696186915,0.03703341,0.13719504,0.0040764338336884975,0.03720336,0.13769506,relu,64,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
1200,0.0041863193644277345,0.037833717,0.13716531,0.004211427178233862,0.038008947,0.13700151,elu,128,1200,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
800,0.004503849661416197,0.039201256,0.119902894,0.004529668018221855,0.039376657,0.12021514,elu,128,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
800,0.15561286198666316,0.0031322218,0.9751295,0.15604755282402039,0.0032066721,0.968614,elu,128,800,binary_crossentropy,RMSProp
1200,0.003548557314102708,0.034251176,0.16567415,0.0035714327823370695,0.034425594,0.16638477,relu,64,1200,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1454a86d0>
